id,name,valence,year,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,user
4AE032Y0x1WPOi5CsmggnU,Maple Leaf Rag,937.0,2004,991.0,406.0,189907,226.0,0,882.0,8,245.0,-22866.0,1,47,0.0477,116267.0,user_1
6DWIm1TfM9WiCNQeLbbAsd,The Entertainer,797.0,1999,992.0,466.0,233600,0.15,0,872.0,5,0.0889,-24581.0,1,53,62.0,159519.0,user_1
6iklmolQDQ8L76PgIMK5tG,Ain't Misbehavin',398.0,2002,845.0,509.0,238693,244.0,0,0.00176,0,196.0,-16952.0,0,38,0.0443,97352.0,user_1
0pWrXWY3R7LBimFUF6BPRE,The Man I Love,296.0,2003,965.0,491.0,184640,185.0,0,4.11e-05,7,234.0,-13184.0,1,0,0.0392,88.23,user_1
0W0Sb7aQvzwr6u40IVhKu0,Sweet Georgia Brown,752.0,2012,958.0,759.0,118693,171.0,0,878.0,5,0.56,-14933.0,1,0,105.0,115618.0,user_1
2WMjaurPGwXHacaXNXlRLa,Star Dust,216.0,2012,943.0,278.0,270133,166.0,0,911.0,6,116.0,-15583.0,1,0,32.0,142734.0,user_1
2STqplYkSLD5ovON11dwcB,West End Blues,0.51,1996,985.0,616.0,195440,274.0,0,508.0,3,116.0,-12058.0,1,0,48.0,84729.0,user_1
0EpS4MhdAbFVxoQOVTySKc,Potato Head Blues - 78rpm Version,927.0,1996,939.0,595.0,174200,248.0,0,208.0,5,128.0,-13019.0,1,0,242.0,183231.0,user_1
1aSEXfmjaaCigbzLLtZlAm,Black Bottom Stomp - 2002 Remastered,838.0,2002,805.0,604.0,192427,481.0,0,816.0,0,335.0,-12892.0,0,35,0.0566,128792.0,user_1
0yc6Gst2xkRu0eMLeRMGCX,Apocalypse,0.182,2017,0.0205,0.37,290617,0.467,0,0.572,5,0.109,-9.013,1,92,0.0273,94.485,user_2
0SpkyS1Q4MD8GaVcP5YjT4,Sunsetz,0.131,2017,0.0527,0.405,215150,0.479,0,0.795,5,0.0974,-9.396,1,88,0.0301,75.37,user_2
2xql0pid3EUwW38AsywxhV,Reflections,0.544,2018,0.114,0.648,244013,0.594,0,0.0462,11,0.116,-7.027,0,87,0.0293,113.983,user_2
0g4fzRkbLeCDUCoe5iUOcf,sex money feelings die,0.631,2018,0.323,0.789,139840,0.534,1,3.42e-06,8,0.0645,-6.347,0,73,0.0709,134.055,user_2
6LOZws7T3jqZz78unPgFF9,Dead To Me,0.428,2018,0.432,0.675,199506,0.761,0,0.0,4,0.102,-4.469,0,80,0.0466,119.001,user_2
6jgkEbmQ2F2onEqsEhiliL,My Kind of Woman,0.46,2012,0.00294,0.501,190846,0.765,0,0.49,6,0.184,-7.063,0,85,0.0281,91.771,user_2
1KIJclzEbNhSVw8tiHPWwE,Young,0.594,2016,0.00392,0.498,189160,0.81,0,0.00717,7,0.0635,-4.065,1,84,0.0263,79.935,user_2
