id,name,valence,year,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo
4AE032Y0x1WPOi5CsmggnU,Maple Leaf Rag,937,2004,991,406,189907,226,0,882,8,245,-22866,1,47,0.0477,116267
6DWIm1TfM9WiCNQeLbbAsd,The Entertainer,797,1999,992,466,233600,0.15,0,872,5,0.0889,-24581,1,53,62,159519
6iklmolQDQ8L76PgIMK5tG,Ain't Misbehavin',398,2002,845,509,238693,244,0,0.00176,0,196,-16952,0,38,0.0443,97352
0pWrXWY3R7LBimFUF6BPRE,The Man I Love,296,2003,965,491,184640,185,0,4.11e-05,7,234,-13184,1,0,0.0392,88.23
0W0Sb7aQvzwr6u40IVhKu0,Sweet Georgia Brown,752,2012,958,759,118693,171,0,878,5,0.56,-14933,1,0,105,115618
2WMjaurPGwXHacaXNXlRLa,Star Dust,216,2012,943,278,270133,166,0,911,6,116,-15583,1,0,32,142734
2STqplYkSLD5ovON11dwcB,West End Blues,0.51,1996,985,616,195440,274,0,508,3,116,-12058,1,0,48,84729
0EpS4MhdAbFVxoQOVTySKc,Potato Head Blues - 78rpm Version,927,1996,939,595,174200,248,0,208,5,128,-13019,1,0,242,183231
1aSEXfmjaaCigbzLLtZlAm,Black Bottom Stomp - 2002 Remastered,838,2002,805,604,192427,481,0,816,0,335,-12892,0,35,0.0566,128792
0yc6Gst2xkRu0eMLeRMGCX,Apocalypse,182,2017,0.0205,0.37,290617,467,0,572,5,109,-9013,1,92,0.0273,94485
0SpkyS1Q4MD8GaVcP5YjT4,Sunsetz,131,2017,0.0527,405,215150,479,0,795,5,0.0974,-9396,1,88,0.0301,75.37
2xql0pid3EUwW38AsywxhV,Reflections,544,2018,114,648,244013,594,0,0.0462,11,116,-7027,0,87,0.0293,113983
0g4fzRkbLeCDUCoe5iUOcf,sex money feelings die,631,2018,323,789,139840,534,1,3.42e-06,8,0.0645,-6347,0,73,0.0709,134055
6LOZws7T3jqZz78unPgFF9,Dead To Me,428,2018,432,675,199506,761,0,0.0,4,102,-4469,0,80,0.0466,119001
6jgkEbmQ2F2onEqsEhiliL,My Kind of Woman,0.46,2012,0.00294,501,190846,765,0,0.49,6,184,-7063,0,85,0.0281,91771
1KIJclzEbNhSVw8tiHPWwE,Young,594,2016,0.00392,498,189160,0.81,0,0.00717,7,0.0635,-4065,1,84,0.0263,79935
1MRnyqgA3P1T5Dw72lfZLm,You and I,445,2022,259,474,151695,919,0,945,10,341,-5702,0,2,0.0381,90225
