Titolo,ID,Durata,Spotify URL,URI,Album
NADIE SABE,23d8v6tU6lR77pFKsApMtF,6.32,"<a href=""https://open.spotify.com/track/23d8v6tU6lR77pFKsApMtF"" target=""_blank"">https://open.spotify.com/track/23d8v6tU6lR77pFKsApMtF</a>",23d8v6tU6lR77pFKsApMtF,nadie sabe lo que va a pasar mañana
MONACO,4MjDJD8cW7iVeWInc2Bdyj,4.45,"<a href=""https://open.spotify.com/track/4MjDJD8cW7iVeWInc2Bdyj"" target=""_blank"">https://open.spotify.com/track/4MjDJD8cW7iVeWInc2Bdyj</a>",4MjDJD8cW7iVeWInc2Bdyj,nadie sabe lo que va a pasar mañana
FINA,3nNmRE0DxHC6ZaKkrpUumS,3.61,"<a href=""https://open.spotify.com/track/3nNmRE0DxHC6ZaKkrpUumS"" target=""_blank"">https://open.spotify.com/track/3nNmRE0DxHC6ZaKkrpUumS</a>",3nNmRE0DxHC6ZaKkrpUumS,nadie sabe lo que va a pasar mañana
HIBIKI,4qSEvFGCpde73gqIuq3sho,3.47,"<a href=""https://open.spotify.com/track/4qSEvFGCpde73gqIuq3sho"" target=""_blank"">https://open.spotify.com/track/4qSEvFGCpde73gqIuq3sho</a>",4qSEvFGCpde73gqIuq3sho,nadie sabe lo que va a pasar mañana
MR. OCTOBER,1ODFVLQszq0hCOdZtqV5wq,3.15,"<a href=""https://open.spotify.com/track/1ODFVLQszq0hCOdZtqV5wq"" target=""_blank"">https://open.spotify.com/track/1ODFVLQszq0hCOdZtqV5wq</a>",1ODFVLQszq0hCOdZtqV5wq,nadie sabe lo que va a pasar mañana
CYBERTRUCK,4Jc7252S1P99DjQ1lNGEOc,3.2,"<a href=""https://open.spotify.com/track/4Jc7252S1P99DjQ1lNGEOc"" target=""_blank"">https://open.spotify.com/track/4Jc7252S1P99DjQ1lNGEOc</a>",4Jc7252S1P99DjQ1lNGEOc,nadie sabe lo que va a pasar mañana
VOU 787,0rDQZJtSGgsB2rdkObpdFa,2.06,"<a href=""https://open.spotify.com/track/0rDQZJtSGgsB2rdkObpdFa"" target=""_blank"">https://open.spotify.com/track/0rDQZJtSGgsB2rdkObpdFa</a>",0rDQZJtSGgsB2rdkObpdFa,nadie sabe lo que va a pasar mañana
SEDA,1YnChEM51BVZ5dRhbVFEMl,3.17,"<a href=""https://open.spotify.com/track/1YnChEM51BVZ5dRhbVFEMl"" target=""_blank"">https://open.spotify.com/track/1YnChEM51BVZ5dRhbVFEMl</a>",1YnChEM51BVZ5dRhbVFEMl,nadie sabe lo que va a pasar mañana
GRACIAS POR NADA,1U3A66OHQyTu4N2QTMsP86,2.96,"<a href=""https://open.spotify.com/track/1U3A66OHQyTu4N2QTMsP86"" target=""_blank"">https://open.spotify.com/track/1U3A66OHQyTu4N2QTMsP86</a>",1U3A66OHQyTu4N2QTMsP86,nadie sabe lo que va a pasar mañana
TELEFONO NUEVO,01ppKlDRCmPpusO3yNrSRY,5.91,"<a href=""https://open.spotify.com/track/01ppKlDRCmPpusO3yNrSRY"" target=""_blank"">https://open.spotify.com/track/01ppKlDRCmPpusO3yNrSRY</a>",01ppKlDRCmPpusO3yNrSRY,nadie sabe lo que va a pasar mañana
